"Year","cpi_score","iso_3"
2004,NA,"COD"
2005,NA,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,10,"DNK"
1999,10,"DNK"
2000,9.8,"DNK"
2001,9.5,"DNK"
2002,9.5,"DNK"
2003,9.5,"DNK"
2004,9.5,"DNK"
2005,9.5,"DNK"
2006,9.5,"DNK"
2007,9.4,"DNK"
2008,9.3,"DNK"
2009,9.3,"DNK"
1998,NA,"DJI"
1999,NA,"DJI"
2000,NA,"DJI"
2001,NA,"DJI"
2002,NA,"DJI"
2003,NA,"DJI"
2004,NA,"DJI"
2005,NA,"DJI"
2006,NA,"DJI"
2007,2.9,"DJI"
2008,3,"DJI"
2009,2.8,"DJI"
1998,NA,"DMA"
1999,NA,"DMA"
2000,NA,"DMA"
2001,NA,"DMA"
2002,NA,"DMA"
2003,NA,"DMA"
2004,NA,"DMA"
2005,NA,"DMA"
2006,4.5,"DMA"
2007,5.6,"DMA"
2008,6,"DMA"
2009,5.9,"DMA"
1998,NA,"DOM"
1999,NA,"DOM"
2000,NA,"DOM"
2001,3.1,"DOM"
2002,NA,"DOM"
2003,NA,"DOM"
2004,NA,"DOM"
2005,NA,"DOM"
2006,NA,"DOM"
2007,NA,"DOM"
2008,NA,"DOM"
2009,NA,"DOM"
1998,NA,"DOM"
1999,NA,"DOM"
2000,NA,"DOM"
2001,NA,"DOM"
2002,3.5,"DOM"
2003,NA,"DOM"
2004,NA,"DOM"
2005,NA,"DOM"
2006,NA,"DOM"
2007,NA,"DOM"
2008,NA,"DOM"
2009,NA,"DOM"
1998,NA,"DOM"
1999,NA,"DOM"
2000,NA,"DOM"
2001,NA,"DOM"
2002,NA,"DOM"
2003,3.3,"DOM"
2004,2.9,"DOM"
2005,3,"DOM"
2006,2.8,"DOM"
2007,3,"DOM"
2008,3,"DOM"
2009,3,"DOM"
1998,2.3,"ECU"
1999,2.4,"ECU"
2000,2.6,"ECU"
2001,2.3,"ECU"
2002,2.2,"ECU"
2003,2.2,"ECU"
2004,2.4,"ECU"
2005,2.5,"ECU"
2006,2.3,"ECU"
2007,2.1,"ECU"
2008,2,"ECU"
2009,2.2,"ECU"
1998,2.9,"EGY"
1999,3.3,"EGY"
2000,3.1,"EGY"
2001,3.6,"EGY"
2002,3.4,"EGY"
2003,3.3,"EGY"
2004,3.2,"EGY"
2005,3.4,"EGY"
2006,3.3,"EGY"
2007,2.9,"EGY"
2008,2.8,"EGY"
2009,2.8,"EGY"
1998,3.6,"SLV"
1999,3.9,"SLV"
2000,4.1,"SLV"
2001,3.6,"SLV"
